id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
1,Alaska,Anchorage,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,21.15,32.86,84,8,N,0,0,1001,99,1679436000,-28800
2,Alaska,Anchorage,2,Wed 3/22,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,21.04,33.49,82,15,N,0,2.27,991,97,1679522400,-28800
3,Alaska,Anchorage,3,Thu 3/23,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,23.36,29.77,93,7,N,0,1.08,1004,100,1679608800,-28800
4,Alaska,Anchorage,4,Fri 3/24,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,12.61,25.95,78,23,S,0,0.17,1019,89,1679695200,-28800
5,Alaska,Anchorage,5,Sat 3/25,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,1.33,19.45,86,5,NW,0,0,1033,100,1679781600,-28800
6,Alaska,Fairbanks,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,8.15,30.51,80,4,N,0,0,1003,100,1679432400,-28800
7,Alaska,Fairbanks,2,Wed 3/22,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,2.34,33.62,79,5,N,0,0,997,25,1679518800,-28800
8,Alaska,Fairbanks,3,Thu 3/23,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,16.54,27.34,87,6,SW,0,0,1004,100,1679605200,-28800
9,Alaska,Fairbanks,4,Fri 3/24,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,3.58,20.23,88,13,SW,0,2.54,1019,100,1679691600,-28800
10,Alaska,Fairbanks,5,Sat 3/25,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,-15.3,21.43,79,4,E,0,0,1031,100,1679778000,-28800
11,Alaska,Juneau,1,Tue 3/21,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,27.82,37.74,93,4,NE,0,1.21,1011,73,1679432400,-28800
12,Alaska,Juneau,2,Wed 3/22,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,32.38,38.1,88,6,E,0,2.8,1005,99,1679518800,-28800
13,Alaska,Juneau,3,Thu 3/23,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,32.86,39.52,90,5,NE,0,3.33,1004,100,1679605200,-28800
14,Alaska,Juneau,4,Fri 3/24,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,28.85,36.39,90,3,S,0,7.59,1020,89,1679691600,-28800
15,Alaska,Juneau,5,Sat 3/25,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,23.67,34.68,69,6,N,0,8.6,1022,72,1679778000,-28800
16,Colorado,Denver/Boulder,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,32.56,52.47,17,12,SW,0,0,1002,100,1679425200,-21600
