id,State or region,Total adults in correctional facilities,White adults in correctional facilities, or AA adults in correctional facilities,AI and Al Native adults in correctional facilitiess,Asian adults in correctional facilities,HI and other PacIs adults in correctional facilities,Adults of some other race in correctional facilities,Adults of two or more races in correctional facilities,Hispanic or Latino adults in correctional facilities,Total US Population,Total US Population: White adults,Total US Population: Black or AA adults,Total US Population: AI and Alaska Native adults,Total US Population of Asian adults,Total US Population: Native HI and other PacIs adults,Total US Population: Some other race adults,Total US Population: Adults of two or more races,Total US Population: Hispanic or Latino adults,"Jailing rate per 100,000 adults","Jailing rate per 100,000 of White adults","Jailing rate per 100,000 of Black or AA adults","Jailing rate per 100,000 of AI and Alaska Native adults","Jailing rate per 100,000 of Asian adults","Jailing rate per 100,000 of Native HI and other PacIs adults","Jailing rate per 100,000 of some other race adults","Jailing rate per 100,000 of adults of two or more races","Jailing rate per 100,000 of Hispanic or Latino adults"
1,United States,2263602,1139749,897875,37854,16928,5494,142908,22794,419509,308745538,223553265,38929319,2932248,14674252,540013,19107368,9009073,50477594,733.1610409,509.8333053,2306.423598,1290.954926,115.3585205,1017.382915,747.9209067,253.0116029,831.0796271
2,Alabama,41177,18087,22377,80,57,3,283,290,1423,4779736,3275394,1251311,28218,53595,3057,96910,71251,185602,861.4910949,552.2083755,1788.284447,283.5069814,106.3532046,98.13542689,292.023527,407.0118314,766.6943244
3,Alaska,4206,1812,301,1579,44,49,31,390,255,710231,473576,23263,104871,38135,7409,11102,51875,39249,592.2016921,382.6207409,1293.900185,1505.659334,115.3795726,661.3578081,279.2289678,751.8072289,649.6980815
4,Arizona,67767,36160,8246,6723,1136,1029,12876,1597,27534,6392017,4667121,259008,296529,176695,12648,761716,218300,1895149,1060.181786,774.7817123,3183.685446,2267.231873,642.9157588,8135.673624,1690.393795,731.5620705,1452.867294
5,Arkansas,25844,13844,10943,167,115,10,553,212,1703,2915918,2245229,449895,22248,36102,5863,99571,57010,186050,886.3075025,616.5963472,2432.345325,750.62927,318.541909,170.5611462,555.3825913,371.8645852,915.3453373
6,California,256807,130010,69806,3615,4590,892,44467,3427,106039,37253956,21453934,2299072,362801,4861007,144386,6317372,1815384,14013719,689.3415561,605.9960844,3036.268547,996.4140121,94.42487945,617.7884282,703.8844633,188.7754877,756.6799363
7,Colorado,40568,28673,7365,1646,383,49,1830,622,13296,5029196,4089202,201737,56010,139028,6623,364140,172456,1038687,806.6498104,701.1881536,3650.792864,2938.760936,275.4840752,739.8459912,502.5539628,360.6717076,1280.077636
8,Connecticut,20059,7108,8187,86,125,49,4249,255,5726,3574097,2772410,362296,11256,135565,1428,198466,92676,479087,561.2326694,256.3834354,2259.754455,764.0369581,92.20669052,3431.372549,2140.920863,275.1521429,1195.190018
9,Delaware,6457,2529,3840,6,8,4,46,24,183,897934,618617,191814,4181,28549,400,30519,23854,73221,719.0951674,408.8151473,2001.939379,143.5063382,28.02199727,1000,150.7257774,100.6120567,249.9282993
10,District of Columbia,3598,204,3146,21,23,1,99,104,288,601723,231471,305125,2079,21056,302,24374,17316,54749,597.9495549,88.13199062,1031.052847,1010.10101,109.2325228,331.1258278,406.1705096,600.6006006,526.0370052
11,Florida,167453,86177,76640,422,449,36,2408,1321,22640,18801310,14109162,2999862,71458,454821,12286,681144,472577,4223806,890.6453859,610.7875152,2554.784187,590.5566906,98.72015584,293.0164415,353.5228968,279.5311663,536.0094663
12,Georgia,104012,39434,60078,187,379,41,3144,749,9382,9687653,5787440,2950435,32151,314467,6799,388872,207489,853689,1073.655301,681.3720747,2036.242113,581.6304314,120.5213902,603.0298573,808.4922545,360.9829919,1098.995067
13,Hawaii,5673,1397,221,26,1208,2187,176,458,501,1360301,336599,21424,4164,525078,135422,16985,320629,120842,417.0400522,415.0339128,1031.553398,624.3996158,230.0610576,1614.95178,1036.208419,142.8442218,414.5909535
14,Idaho,11275,9785,319,378,30,21,544,198,1804,1567582,1396487,9810,21441,19069,2317,79523,38935,175901,719.2606192,700.6867948,3251.783894,1762.977473,157.3234045,906.3444109,684.07882,508.5398741,1025.576887
