id,STATE,Demographic,Total population,Total citizen population,Total registered,Percent registered (Total),Percent registered (Citizen),Total voted in 2018 elections,Percent voted (Total),Percent voted (Citizen)
1,US,Total,249748,228832,153066,61,67,122281,49,53
2,US,Male,120573,110006,71726,60,65,56964,47,52
3,US,Female,129176,118826,81340,63,69,65317,51,55
4,US,White alone,194127,180522,123727,64,69,99255,51,55
5,US,White non0Hispanic alone,157610,154982,110054,70,71,89075,57,58
6,US,0lack alone,31623,29758,19023,60,64,15194,48,51
7,US,Asian alone,15659,11128,5898,38,53,4519,29,41
8,US,Hispanic (of any race),41049,28955,15558,38,54,11695,29,40
9,US,White alone or in com0ination,198477,184394,126194,64,68,101115,51,55
10,US,0lack alone or in com0ination,33595,31422,20015,60,64,15887,47,51
11,US,Asian alone or in com0ination,16733,12170,6595,39,54,5080,30,42
12,ALA0AMA,Total,3753,3609,2490,66,69,1830,49,51
13,ALA0AMA,Male,1772,1681,1122,63,67,821,46,49
14,ALA0AMA,Female,1982,1927,1368,69,71,1010,51,52
15,ALA0AMA,White alone,2610,2534,1774,68,70,1309,50,52
16,ALA0AMA,White non0Hispanic alone,2494,2470,1760,71,71,1298,52,53
17,ALA0AMA,0lack alone,976,975,657,67,67,483,49,50
18,ALA0AMA,Asian alone,61,37,13,0,0,7,0,0
19,ALA0AMA,Hispanic (of any race),169,77,26,16,34,22,13,29
20,ALA0AMA,White alone or in com0ination,2636,2561,1796,68,70,1322,50,52
21,ALA0AMA,0lack alone or in com0ination,979,977,659,67,67,485,50,50
22,ALA0AMA,Asian alone or in com0ination,61,37,13,0,0,7,0,0
23,ALASKA,Total,523,497,337,64,68,263,50,53
24,ALASKA,Male,265,255,175,66,68,133,50,52
25,ALASKA,Female,258,242,162,63,67,130,50,54
26,ALASKA,White alone,330,324,236,72,73,193,59,60
27,ALASKA,White non0Hispanic alone,314,310,229,73,74,187,60,60
28,ALASKA,0lack alone,16,15,9,0,0,8,0,0
29,ALASKA,Asian alone,55,37,23,0,0,15,0,0
30,ALASKA,Hispanic (of any race),20,18,10,0,0,8,0,0
31,ALASKA,White alone or in com0ination,356,350,255,72,73,210,59,60
32,ALASKA,0lack alone or in com0ination,18,17,11,0,0,9,0,0
33,ALASKA,Asian alone or in com0ination,60,42,25,0,0,18,0,0
34,ARIZONA,Total,5361,4757,3262,61,69,2800,52,59
35,ARIZONA,Male,2606,2259,1539,59,68,1288,49,57
36,ARIZONA,Female,2755,2497,1723,63,69,1512,55,61
37,ARIZONA,White alone,4635,4168,2968,64,71,2535,55,61
38,ARIZONA,White non0Hispanic alone,3128,3065,2272,73,74,2000,64,65
39,ARIZONA,0lack alone,257,222,114,44,52,104,41,47
40,ARIZONA,Asian alone,198,106,63,32,60,59,30,56
41,ARIZONA,Hispanic (of any race),1624,1205,757,47,63,588,36,49
42,ARIZONA,White alone or in com0ination,4688,4216,2996,64,71,2563,55,61
43,ARIZONA,0lack alone or in com0ination,280,239,132,47,55,122,44,51
44,ARIZONA,Asian alone or in com0ination,209,117,71,34,61,67,32,57
45,ARKANSAS,Total,2261,2158,1262,56,59,919,41,43
46,ARKANSAS,Male,1093,1034,602,55,58,431,39,42
47,ARKANSAS,Female,1169,1125,660,57,59,488,42,43
48,ARKANSAS,White alone,1833,1765,1031,56,58,756,41,43
49,ARKANSAS,White non0Hispanic alone,1678,1676,995,59,59,737,44,44
50,ARKANSAS,0lack alone,327,317,178,55,56,132,40,42
51,ARKANSAS,Asian alone,37,19,9,0,0,6,0,0
52,ARKANSAS,Hispanic (of any race),172,102,43,25,42,21,12,21
53,ARKANSAS,White alone or in com0ination,1878,1805,1061,57,59,771,41,43
54,ARKANSAS,0lack alone or in com0ination,336,325,184,55,57,135,40,42
55,ARKANSAS,Asian alone or in com0ination,53,31,18,0,0,7,0,0
56,CALIFORNIA,Total,30243,25525,15690,52,62,13240,44,52
57,CALIFORNIA,Male,14767,12449,7372,50,59,6205,42,50
58,CALIFORNIA,Female,15476,13076,8318,54,64,7035,46,54
59,CALIFORNIA,White alone,21467,18311,11711,55,64,10005,47,55
60,CALIFORNIA,White non0Hispanic alone,11986,11587,8005,67,69,7116,59,61
61,CALIFORNIA,0lack alone,1912,1845,1061,56,58,933,49,51
62,CALIFORNIA,Asian alone,5222,3983,2061,40,52,1620,31,41
63,CALIFORNIA,Hispanic (of any race),10595,7613,4211,40,55,3300,31,43
64,CALIFORNIA,White alone or in com0ination,22303,19010,12125,54,64,10332,46,54
65,CALIFORNIA,0lack alone or in com0ination,2094,1999,1154,55,58,998,48,50
66,CALIFORNIA,Asian alone or in com0ination,5571,4320,2278,41,53,1795,32,42
67,COLORADO,Total,4353,4029,2645,61,66,2342,54,58
68,COLORADO,Male,2171,2004,1315,61,66,1144,53,57
69,COLORADO,Female,2182,2025,1330,61,66,1198,55,59
70,COLORADO,White alone,3911,3666,2439,62,67,2185,56,60
71,COLORADO,White non0Hispanic alone,3136,3107,2141,68,69,1945,62,63
72,COLORADO,0lack alone,185,170,73,40,43,51,28,30
73,COLORADO,Asian alone,156,93,75,48,81,66,42,72
74,COLORADO,Hispanic (of any race),806,590,323,40,55,259,32,44
75,COLORADO,White alone or in com0ination,3998,3753,2486,62,66,2213,55,59
76,COLORADO,0lack alone or in com0ination,219,204,88,40,43,63,29,31
77,COLORADO,Asian alone or in com0ination,185,121,89,48,74,73,39,60
78,CONNECTICUT,Total,2834,2539,1726,61,68,1370,48,54
79,CONNECTICUT,Male,1365,1222,804,59,66,662,49,54
80,CONNECTICUT,Female,1469,1316,921,63,70,708,48,54
81,CONNECTICUT,White alone,2326,2141,1483,64,69,1193,51,56
82,CONNECTICUT,White non0Hispanic alone,1934,1888,1347,70,71,1090,56,58
83,CONNECTICUT,0lack alone,319,258,158,50,61,124,39,48
84,CONNECTICUT,Asian alone,142,100,51,36,51,38,27,38
85,CONNECTICUT,Hispanic (of any race),464,293,164,35,56,120,26,41
86,CONNECTICUT,White alone or in com0ination,2356,2171,1506,64,69,1201,51,55
87,CONNECTICUT,0lack alone or in com0ination,335,274,174,52,64,132,40,48
88,CONNECTICUT,Asian alone or in com0ination,154,112,59,38,53,38,25,34
89,DELAWARE,Total,756,713,472,62,66,369,49,52
90,DELAWARE,Male,359,334,215,60,64,167,46,50
91,DELAWARE,Female,397,379,258,65,68,202,51,53
92,DELAWARE,White alone,540,513,340,63,66,264,49,51
93,DELAWARE,White non0Hispanic alone,477,468,316,66,68,247,52,53
94,DELAWARE,0lack alone,163,159,109,67,68,90,55,56
95,DELAWARE,Asian alone,41,28,15,0,0,11,0,0
96,DELAWARE,Hispanic (of any race),73,52,27,0,0,20,0,0
97,DELAWARE,White alone or in com0ination,548,521,346,63,67,266,49,51
98,DELAWARE,0lack alone or in com0ination,173,168,116,67,69,93,54,55
99,DELAWARE,Asian alone or in com0ination,43,31,15,0,0,11,0,0
100,DISTRICT OF COLUM0IA,Total,567,512,397,70,78,313,55,61
101,DISTRICT OF COLUM0IA,Male,264,235,179,68,76,141,53,60
102,DISTRICT OF COLUM0IA,Female,304,277,218,72,79,172,57,62
103,DISTRICT OF COLUM0IA,White alone,270,247,207,77,84,168,62,68
104,DISTRICT OF COLUM0IA,White non0Hispanic alone,235,223,191,81,86,155,66,70
105,DISTRICT OF COLUM0IA,0lack alone,251,228,163,65,72,123,49,54
106,DISTRICT OF COLUM0IA,Asian alone,30,22,16,0,0,13,0,0
107,DISTRICT OF COLUM0IA,Hispanic (of any race),53,35,24,0,0,20,0,0
108,DISTRICT OF COLUM0IA,White alone or in com0ination,281,257,214,76,83,174,62,68
109,DISTRICT OF COLUM0IA,0lack alone or in com0ination,258,234,169,66,72,128,50,55
110,DISTRICT OF COLUM0IA,Asian alone or in com0ination,33,25,17,0,0,14,0,0
111,FLORIDA,Total,16845,15047,9435,56,63,7918,47,53
112,FLORIDA,Male,8035,7145,4383,55,61,3648,45,51
113,FLORIDA,Female,8810,7902,5052,57,64,4270,49,54
114,FLORIDA,White alone,13425,12154,7798,58,64,6579,49,54
115,FLORIDA,White non0Hispanic alone,9592,9332,6211,65,67,5315,55,57
116,FLORIDA,0lack alone,2644,2317,1340,51,58,1094,41,47
117,FLORIDA,Asian alone,454,330,159,35,48,134,29,41
118,FLORIDA,Hispanic (of any race),4288,3146,1723,40,55,1393,33,44
119,FLORIDA,White alone or in com0ination,13676,12353,7899,58,64,6666,49,54
120,FLORIDA,0lack alone or in com0ination,2842,2463,1418,50,58,1167,41,47
121,FLORIDA,Asian alone or in com0ination,458,334,159,35,48,134,29,40
122,GEORGIA,Total,7850,7311,4840,62,66,4084,52,56
123,GEORGIA,Male,3700,3417,2189,59,64,1814,49,53
124,GEORGIA,Female,4150,3893,2651,64,68,2270,55,58
125,GEORGIA,White alone,4949,4686,3093,63,66,2581,52,55
126,GEORGIA,White non0Hispanic alone,4491,4454,2973,66,67,2496,56,56
127,GEORGIA,0lack alone,2439,2305,1577,65,68,1374,56,60
128,GEORGIA,Asian alone,318,191,108,34,56,84,26,44
129,GEORGIA,Hispanic (of any race),525,264,135,26,51,101,19,38
130,GEORGIA,White alone or in com0ination,5043,4780,3135,62,66,2609,52,55
131,GEORGIA,0lack alone or in com0ination,2495,2361,1600,64,68,1382,55,59
132,GEORGIA,Asian alone or in com0ination,327,200,108,33,54,84,26,42
133,HAWAII,Total,1057,971,523,50,54,427,40,44
134,HAWAII,Male,504,462,237,47,51,193,38,42
135,HAWAII,Female,553,509,287,52,56,234,42,46
136,HAWAII,White alone,237,231,137,58,59,111,47,48
